Gene	Length	Strand	GC
tolC	1481	forward	51.35
tolQ	692	forward	50.51
tolR	428	forward	51.75
tonB	719	forward	54.44
topA	2597	forward	51.77
topB	1961	reverse	55.15
tpiA	767	reverse	52.6
tpr	89	reverse	64.44
treA	1697	reverse	52.3
trg	1640	forward	51.25
trkA	1376	forward	50.11
trkG	1457	forward	38.07
trkH	1451	forward	53.1
trmA	1100	reverse	50.86
trmD	767	reverse	53.39
trpA	806	reverse	53.53
trpB	1193	reverse	54.69
trpC	1361	reverse	52.79
trpD	1595	reverse	56.39
trpE	1562	reverse	54.38
trpR	326	forward	54.13
trpS	1004	reverse	52.04
trxA	329	forward	50.91
trxB	965	reverse	53.62
tsf	851	forward	49.88
tsr	1655	forward	54.65
tsx	884	reverse	50.51
tufA	1184	reverse	53.25
tufB	1184	forward	53.42
tus	929	forward	50.75
tyrA	1121	reverse	52.32
tyrB	1193	forward	52.76
tyrP	1211	forward	51.24
tyrR	1541	forward	52.14
tyrS	1274	reverse	51.53
ubiX	569	reverse	53.16
udp	761	forward	54.07
ugpA	887	reverse	55.86
ugpB	1316	reverse	53.68
ugpC	1070	reverse	57.7
ugpE	845	reverse	54.37
ugpQ	743	reverse	56.45
uhpA	590	reverse	58.88
uhpB	1502	reverse	57.09
uhpC	1319	reverse	55
uhpT	1391	reverse	52.87
uidA	1811	reverse	52.26
umuC	1268	forward	50.99
umuD	419	forward	48.1
ung	689	forward	52.17
usg	1013	reverse	54.93
ushA	1652	forward	50.88
uvrA	2822	reverse	56.08
uvrB	2021	forward	53.56
uvrC	1832	reverse	51.72
uvrD	2162	forward	57.7
uxaB	1451	reverse	52
uxuA	1184	forward	54.35
valS	2855	reverse	54.59
vsr	470	reverse	56.05
xerC	896	forward	53.96
dsbC	710	reverse	48.38
xerD	896	reverse	53.07
xseA	1370	forward	53.25
xthA	806	forward	53.41
xylA	1322	reverse	50.87
xylB	1454	reverse	54.78
xylE	1475	reverse	49.59
nhaR	905	forward	47.46
ribF	941	forward	53.61
fkpB	449	forward	54.44
ispH	950	forward	55.1
rihC	914	forward	56.28
rapA	2906	reverse	54.9
mraZ	458	forward	52.07
rsmH	941	forward	55.2
ftsL	365	forward	50.27
secM	512	forward	54
pdhR	764	forward	55.82
yacC	347	reverse	50
mtn	698	reverse	52.36
frsA	1244	forward	53.65
crl	0		50.5
yaiA	191	forward	48.44
sbcD	1202	reverse	53.28
acpH	581	reverse	53.09
yajC	332	forward	49.55
yajD	347	forward	47.13
xseB	242	reverse	55.14
ybaA	353	forward	49.44
ybaB	329	forward	52.73
aes	959	reverse	52.08
gsk	1304	forward	51.88
fimZ	632	reverse	36.65
entS	1250	forward	58.03
entH	413	forward	56.76
ybgA	509	forward	50.39
mngR	722	reverse	48.13
ybgC	404	forward	49.63
cspD	224	reverse	48.44
aat	704	reverse	54.04
yccA	659	reverse	51.21
yceA	1052	forward	49.76
yceB	560	reverse	46.88
rluC	959	forward	51.46
yceD	521	forward	49.62
tfaE	602	reverse	47.76
yciA	398	reverse	48.37
yciB	539	reverse	46.48
yciC	743	reverse	49.33
ompW	638	forward	50.08
yciE	506	reverse	40.63
yciF	500	reverse	43.11
yciG	179	reverse	51.11
yciH	326	forward	49.85
rem	251	reverse	40.48
hokD	155	reverse	51.92
relE	287	reverse	46.88
ppsR	833	forward	51.32
nlpC	464	reverse	49.68
ydjA	551	reverse	55.98
pncA	641	forward	53.12
yebB	602	forward	44.11
yebC	740	reverse	52.23
nudB	452	reverse	52.54
yecA	665	reverse	53
uvrY	656	reverse	49.77
yedA	920	forward	53.64
yfaA	1688	reverse	51.15
ubiG	722	forward	54.22
yfcA	809	reverse	52.72
pdeA	2189	reverse	49
xapR	884	reverse	50.51
yffB	356	forward	46.78
gcvR	572	forward	50.09
hyfA	617	forward	56.31
raiA	341	forward	46.2
yfiB	482	forward	51.14
rimM	548	reverse	49
ppdC	323	reverse	54.94
ygdB	407	reverse	52.7
ppdB	563	reverse	52.3
ygeA	692	reverse	50.94
fau	548	forward	51.91
argO	635	reverse	50.79
mscS	860	reverse	49.94
yggC	713	reverse	50.28
fumE	509	reverse	48.04
ygiA	260	forward	52.87
ygiB	671	forward	56.1
ygiC	1160	forward	50.13
ygiD	815	reverse	53.55
zupT	773	forward	53.1
ttdA	911	forward	53.84
ttdB	605	forward	53.96
tsaD	1013	reverse	57.69
tdcD	1208	reverse	48.3
yhaB	539	forward	35.56
yhaC	1187	forward	31.82
garK	1145	reverse	53.75
garR	884	reverse	52.99
truB	944	reverse	52.49
rbfA	401	reverse	52.99
rimP	452	reverse	48.57
mscL	410	forward	45.01
bfd	194	reverse	46.15
yhfA	404	reverse	51.6
damX	1286	reverse	54.55
yhhA	440	forward	51.47
yiaA	437	reverse	41.1
yibA	842	forward	33.69
htrL	857	reverse	37.06
waaC	959	forward	51.04
coaD	479	forward	52.71
slmA	596	forward	53.1
yicC	863	forward	53.82
dinD	824	forward	45.82
xanP	1391	forward	54.89
yidA	812	reverse	51.05
yidB	398	reverse	51.13
yidC	1646	forward	53.67
glmU	1370	reverse	52.66
mioC	443	reverse	50
yigA	707	forward	55.79
yigB	716	forward	55.79
yihA	632	reverse	51.66
murI	857	forward	51.52
murB	1028	forward	45.97
yjaA	383	forward	45.31
yjaB	443	reverse	54.5
arpA	2186	reverse	37.63
psiE	410	forward	49.15
crfC	2228	forward	51.46
epmA	977	forward	52.66
nsrR	425	forward	48.36
yzfA	269	reverse	52.22
yjjA	494	reverse	50.51
yjjB	473	reverse	51.05
creA	473	forward	48.95
creB	689	forward	55.22
ydcA	173	forward	44.25
zwf	1475	reverse	51.69
alkA	848	reverse	55.59
argH	1373	forward	56.48
fliO	365	forward	54.64
dcuA	1301	reverse	52.61
leuA	1571	reverse	52.99
fdnG	3047	forward	54.17
fdnH	884	forward	55.03
fdnI	653	forward	49.69
melR	908	reverse	50.28
rpmI	197	reverse	50
rpmJ	116	reverse	47.86
rstB	1301	forward	50.69
ydiB	866	forward	47.75
rhlE	1364	forward	56.7
pdeL	1088	forward	45.91
chiA	2693	reverse	50.37
ybhB	476	reverse	52.41
ybhA	818	reverse	51.53
ycaC	626	reverse	46.25
ycaD	1148	forward	52.05
yggE	740	reverse	52.63
yggF	965	reverse	56.63
uspE	950	reverse	50.58
rlmD	1301	reverse	51.46
mazF	335	reverse	46.13
chpS	251	forward	50.4
ychA	809	forward	46.42
mukE	704	forward	51.63
ldtD	1847	forward	53.14
rlmH	467	reverse	58.33
rsfS	317	reverse	51.26
iraP	260	forward	46.36
dgcC	1115	forward	53.67
focA	857	reverse	48.95
rnr	2441	forward	55.28
yifB	1520	reverse	50.89
nfsA	722	forward	52.56
tsgA	1181	forward	51.86
gspB	419	reverse	45.95
cmk	683	forward	53.65
waaH	1034	reverse	45.99
yiaB	341	reverse	41.52
fmt	947	forward	52.85
hisL	50	forward	43.14
ilvL	98	forward	53.54
pheL	47	forward	37.5
pheM	44	reverse	35.56
fruL	86	forward	44.83
trpL	44	reverse	44.44
ivbL	98	reverse	58.59
tnaC	74	forward	34.67
thrL	65	forward	51.52
pyrL	134	reverse	50.37
leuL	86	reverse	47.13
mutL	1847	forward	56.28
hyfB	2018	forward	54.73
phnE	838	reverse	62.1
fabZ	455	forward	50.44
glrR	1334	reverse	54.76
argE	1151	reverse	51.74
ygbA	353	reverse	50.56
mak	908	forward	55.67
preA	1235	forward	51.05
yeiB	1157	reverse	54.4
loiP	758	forward	51.52
yghA	884	forward	54.35
lolB	623	reverse	51.44
ispE	851	reverse	53.4
wzzE	1046	forward	52.72
radA	1382	forward	57.7
dsbA	626	forward	48.01
yhdE	593	reverse	53.7
rng	1469	reverse	52.11
ydfA	155	forward	48.08
ydfB	128	forward	46.51
ydfC	218	forward	47.95
ydfD	191	forward	43.23
ydfE	920	forward	49.73
tatE	203	forward	50
lipA	965	reverse	53.42
pdxI	860	forward	53.08
ydbD	2306	forward	43.48
dusB	965	forward	52.28
yicR	668	reverse	47.98
rhaT	1034	reverse	51.69
purB	1370	reverse	52.3
yhdH	974	forward	55.38
malS	2030	forward	52.83
fabD	929	forward	55.16
fabG	734	forward	51.56
galU	908	forward	46.97
nrdR	449	forward	51.33
ribD	1103	forward	55.34
ribE	470	forward	52.23
ygfB	578	reverse	51.3
ubiH	1178	reverse	59.54
acnA	2675	forward	52.91
codA	1283	forward	53.43
codB	1259	forward	53.89
fdx	335	reverse	51.79
gabD	1448	forward	58.32
gabP	1400	forward	51.32
ribA	590	reverse	50.08
upp	626	reverse	52.95
ubiI	1202	reverse	54.95
ligB	1682	reverse	52.58
nadR	1232	forward	50.93
endA	707	forward	54.8
lysP	1469	reverse	53.47
msyB	374	reverse	50.13
waaG	1124	reverse	44.8
waaP	797	reverse	43.36
waaQ	1034	reverse	44.64
ychE	647	forward	47.84
mdtG	1226	reverse	52.49
mnmA	1106	reverse	53.75
hflD	641	reverse	57.17
fliE	314	reverse	53.97
fliF	1658	forward	54.61
waaS	935	reverse	26.82
waaB	1079	reverse	39.63
waaO	1019	reverse	36.18
waaJ	1016	reverse	33.82
emrA	1172	forward	53.37
fliA	719	reverse	54.17
fliZ	551	reverse	46.56
dinG	2150	forward	54.07
murA	1259	reverse	53.33
gspO	677	forward	50.44
bax	824	reverse	48.24
asmA	1853	reverse	52.54
gluQ	926	reverse	53.61
amiB	1337	forward	55.08
bglH	1616	reverse	45.15
rob	869	reverse	53.22
barA	2756	forward	49.84
menB	857	reverse	55.59
ubiC	497	forward	52.81
ubiA	872	forward	51.78
pgpC	635	reverse	52.2
tadA	503	reverse	54.76
mltF	1556	forward	50.42
folK	479	reverse	50
folE	668	reverse	51.27
ftsP	1412	reverse	56.4
plsC	737	reverse	49.46
sufA	368	reverse	53.39
appB	1136	forward	53.21
appC	1544	forward	54.05
glgS	200	reverse	45.27
elbB	653	reverse	52.75
ahpC	563	forward	50
ahpF	1565	forward	53.13
yjiV	2720	forward	50.13
amyA	1487	forward	49.8
fliS	410	forward	49.88
fliT	365	forward	51.64
uspA	434	forward	49.2
osmY	605	forward	51.65
nhaB	1541	reverse	52.85
dsbB	530	reverse	52.73
fabR	704	forward	52.62
yijD	359	forward	49.17
ubiD	1493	forward	53.82
hdeA	332	reverse	42.94
hdeB	326	reverse	40.06
yhiD	647	reverse	45.52
psiF	320	forward	47.66
treC	1655	reverse	53.08
ppx	1541	forward	51.17
ychF	1091	reverse	51.01
cydD	1766	reverse	53.65
ribC	641	reverse	47.51
dadA	1298	forward	56.27
dadX	1070	forward	57.98
lpxK	986	forward	54.71
yjgA	551	reverse	52.9
glnD	2672	reverse	53.95
holA	1031	reverse	52.33
holC	443	reverse	54.05
holD	413	forward	57.73
dps	503	reverse	49.01
nrdD	2138	reverse	53.53
dcd	581	reverse	60.31
bcr	1190	reverse	53.32
cynR	899	reverse	55
inaA	650	reverse	49.46
waaU	1073	reverse	31.01
waaL	1259	forward	31.9
waaY	698	reverse	35.34
waaZ	851	reverse	32.51
tktA	1991	reverse	55.72
sthA	1400	reverse	51.82
yjaZ	539	forward	42.41
roxA	1121	reverse	54.01
yfeC	344	forward	50.14
yfeD	392	forward	46.06
msrA	638	reverse	54.46
marA	383	forward	45.83
marR	434	forward	49.43
ahr	1019	reverse	55.59
plsX	1070	forward	52.1
yceF	584	reverse	50.09
emrB	1538	forward	56.6
def	509	forward	46.27
prlC	2042	reverse	54.72
gcvT	1094	reverse	54.61
rpiA	659	reverse	51.82
scpA	2144	forward	54.97
argK	995	forward	53.92
csrA	185	reverse	49.46
acs	1958	reverse	56.87
hdfR	839	reverse	48.45
maoP	338	forward	48.08
wecB	1130	forward	52.61
wecC	1262	forward	53.76
rffG	1067	forward	53.75
rffH	881	forward	55.1
rffC	674	forward	55.56
wecE	1130	forward	54.38
wzyE	1352	forward	52.4
rffM	740	forward	53.17
yifK	1385	forward	53.46
narQ	1700	forward	51.62
yigE	764	reverse	47.84
corA	950	forward	52.68
yigF	380	reverse	34.91
yigG	380	reverse	32.81
rarD	890	reverse	50.62
yigI	467	reverse	53.21
rhtC	620	forward	52.5
rhtB	620	reverse	52.17
yigL	800	forward	51.56
bioP	899	forward	55.56
rmuC	1427	forward	53.08
ubiE	755	forward	52.12
ubiJ	605	forward	55.78
ubiB	1640	forward	49.97
tatC	776	forward	51.61
tatD	782	forward	54.28
yigZ	614	forward	55.61
hemG	545	forward	51.83
wzxE	1250	forward	53.64
pdxH	656	reverse	51.9
mliC	329	reverse	45.76
csgA	455	forward	51.1
gadB	1400	reverse	53.32
dinF	1379	forward	55.72
qorA	983	reverse	53.05
pabC	809	forward	50.62
mltG	1022	forward	50.73
hdeD	572	forward	46.6
prfH	500	forward	54.29
prmA	881	forward	54.31
yhdJ	884	forward	47.46
yhbE	965	reverse	53
holB	1004	forward	54.03
adiA	2267	reverse	52.69
rcsF	404	reverse	53.33
trmO	707	reverse	55.23
metQ	815	reverse	49.14
holE	230	forward	48.48
ftsH	1934	reverse	53.59
rlmE	629	reverse	50.48
sra	137	reverse	44.2
mbiA	485	forward	48.15
ppk	2066	forward	48.86
mog	587	forward	54.42
satP	566	reverse	53.09
gltF	764	forward	45.36
yhcA	674	forward	41.63
ycgB	1532	reverse	49.84
glpX	1010	reverse	56.78
nikR	401	forward	57.21
yhhH	383	forward	33.33
ybfA	206	forward	50.24
ybfB	326	forward	31.19
ybfC	569	forward	36.67
ybfD	761	forward	39.63
yhhI	1136	forward	41.51
ydcC	1136	forward	41.78
narP	647	forward	52.47
fabI	788	reverse	53.23
ftsN	959	reverse	57.4
fadD	1685	reverse	51.19
cfa	1148	forward	47.95
menC	962	reverse	58.98
ychH	278	forward	53.05
ibpA	413	reverse	47.1
ibpB	428	reverse	48.95
yidE	1661	reverse	52.89
yceH	647	forward	51.85
yfiC	737	reverse	52.44
pyrH	725	forward	52.75
wrbA	596	reverse	53.94
kup	1868	forward	51.42
tesA	626	reverse	52.79
hemE	1064	forward	56.06
gadE	527	forward	32.95
flgL	953	forward	50.73
nadC	893	reverse	53.13
rnt	647	forward	54.17
lhr	4616	forward	56.9
pepT	1226	forward	49.88
hypF	2252	reverse	57.61
hydN	527	reverse	52.27
glmM	1337	reverse	54.41
stpA	404	reverse	48.15
yaaJ	1430	reverse	53.32
talB	953	forward	51.99
caiD	785	reverse	54.07
caiC	1553	reverse	51.03
caiB	1217	reverse	52.63
caiA	1142	reverse	53.89
caiT	1514	reverse	51.82
fixA	770	forward	52.53
fixB	941	forward	56.69
fixC	1286	forward	54.93
fixX	287	forward	56.94
yaaU	1331	forward	53.3
kefF	530	forward	54.61
lptD	2354	reverse	51.38
djlA	815	forward	52.7
yabI	764	forward	53.86
thiQ	698	reverse	57.08
thiP	1610	reverse	58.41
thiB	983	reverse	53.25
leuD	605	reverse	51.49
leuC	1400	reverse	55.75
leuB	1091	reverse	55.49
greB	476	forward	49.9
ybiA	482	reverse	50.31
ybiB	962	forward	55.66
hcxB	1085	forward	55.62
gcl	1781	forward	52.92
thiC	1895	reverse	55.75
thiE	635	reverse	58.02
thiF	755	reverse	57.54
thiG	770	reverse	58.5
thiH	1133	reverse	55.03
lipB	641	reverse	47.66
ybeD	263	reverse	46.21
ybeF	953	reverse	44.86
moaA	989	forward	54.14
moaB	512	forward	52.05
moaD	245	forward	55.69
moaE	452	forward	56.73
marB	218	forward	50.23
sseA	845	forward	53.19
sseB	776	reverse	47.1
glnE	2840	reverse	55.97
ygiF	1301	reverse	55.38
smf	1124	reverse	50.93
smg	473	reverse	45.99
kch	1253	reverse	42.34
yciI	296	reverse	48.82
clsA	1460	reverse	51.68
evgA	614	forward	40
evgS	3593	forward	40.82
proP	1502	forward	50.43
eptA	1643	reverse	49.45
basS	1091	reverse	54.21
basR	668	reverse	53.21
gdx	317	forward	53.14
baeS	1403	forward	53.7
baeR	722	forward	54.08
mfd	3446	reverse	54.77
rnb	1934	reverse	53.23
metN	1031	reverse	52.91
mdlB	1781	forward	56.29
sdaB	1367	forward	54.97
artP	728	reverse	52.67
artI	731	reverse	50.27
artQ	716	reverse	54.95
artM	668	reverse	52.17
artJ	731	reverse	44.81
potF	1112	forward	50.85
potG	1133	forward	55.2
potH	953	forward	50.94
potI	845	forward	54.73
nohA	569	reverse	53.68
nohD	545	forward	52.56
ydeA	1190	forward	51.3
marC	665	reverse	51.05
eamA	899	reverse	49.78
ydeE	1187	forward	49.83
dgcZ	890	reverse	44.89
ydeI	392	reverse	47.58
ydeJ	518	forward	49.33
psuK	941	reverse	47.03
accA	959	forward	52.29
dkgB	803	forward	46.27
yafC	914	reverse	49.62
yafD	800	forward	52.68
yafE	623	forward	49.04
degS	1067	forward	52.72
cyaY	320	reverse	53.89
fliG	995	forward	55.62
fliH	686	forward	57.06
ybbA	686	forward	56.62
uidB	1373	reverse	51.82
yedD	413	reverse	57
yedE	1205	forward	54.89
yedF	233	forward	48.29
yedK	668	forward	51.87
slyD	590	reverse	55.33
slyX	218	forward	52.97
bacA	821	reverse	52.43
moaC	485	forward	55.97
atoS	1826	forward	48.55
atoC	1385	forward	48.99
atoD	662	forward	53.85
atoA	650	forward	53.61
atoE	1322	forward	53.06
atoB	1184	forward	53
folB	368	reverse	50.95
plsY	617	forward	53.88
panB	794	reverse	54.59
hslV	530	reverse	52.73
modF	1472	reverse	52.68
yadC	1238	reverse	40.36
aas	2159	reverse	52.64
lptB	725	forward	54.41
hpf	287	forward	44.79
ptsN	491	forward	52.24
yicG	617	forward	53.4
yicH	1709	forward	54.21
yicI	2318	reverse	52.05
yicJ	1382	reverse	49.39
setC	1184	forward	46.08
yicL	923	forward	48.7
nepI	1190	reverse	52.98
yicN	452	reverse	52.76
adeQ	1334	reverse	48.31
adeD	1766	forward	54.61
emrD	1184	forward	57.13
yidF	497	reverse	53.61
yidG	362	reverse	50.41
yidH	347	reverse	52.01
yidI	449	forward	48
galM	1040	reverse	55.62
gpmA	752	reverse	51
pnuC	719	forward	48.19
udk	641	reverse	48.75
nudC	773	forward	53.23
acrA	1193	reverse	53.85
acrB	3149	reverse	53.97
yidJ	1493	reverse	52.01
yidK	1715	reverse	53.5
yidL	893	forward	43.51
glvG	638	reverse	53.21
glvB	485	reverse	50.62
glvC	1106	reverse	52.85
yidP	716	forward	51.32
yidQ	332	forward	53.75
yidR	1247	reverse	55.21
cbrA	1064	forward	51.46
yidX	656	forward	42.92
mdtL	1175	forward	53.06
yidZ	959	forward	52.19
yieE	749	forward	52.27
yieF	566	forward	52.73
adeP	1337	reverse	53.74
yieH	665	forward	48.05
cbrB	467	forward	43.8
cbrC	587	forward	44.56
yieK	722	reverse	49.52
yieL	1169	reverse	50
viaA	1451	reverse	52.75
ravA	1496	reverse	49.7
hsrA	1427	reverse	49.09
yieP	692	reverse	49.35
phoH	1064	forward	52.21
efeB	1271	forward	53.77
gmhB	575	forward	50.17
metI	653	reverse	52.29
rsd	476	reverse	49.06
nfrB	2237	reverse	52.5
nfrA	2972	reverse	55.06
envR	662	reverse	44.19
yddA	1685	reverse	43.65
yddB	2372	reverse	45.98
pqqL	2795	reverse	46.64
panC	851	reverse	52.7
panD	380	reverse	52.49
rpnC	902	forward	48.84
yadE	1229	forward	49.51
rpnA	878	forward	47.55
otsA	1424	reverse	49.19
otsB	800	reverse	50.56
chaA	1100	reverse	48.77
setA	1178	forward	48.52
tsaE	461	forward	52.38
nnr	1547	forward	57.11
yciK	758	reverse	52.44
ydcD	482	forward	27.33
pptA	233	forward	43.16
yibF	608	reverse	52.71
yibG	461	forward	32.25
yibH	1136	reverse	52.68
yibI	362	reverse	51.52
yibJ	701	forward	50.28
yhhJ	1124	reverse	54.67
selU	1094	reverse	55.62
ybbC	368	forward	30.62
ybbD	490	forward	32.79
nuoM	1529	reverse	54.71
nuoF	1337	reverse	56.2
ybfE	293	reverse	53.74
ybfF	764	reverse	50.85
ybfG	650	reverse	44.09
trmI	719	reverse	52.64
yneO	5421	reverse	50.41
nrfA	1436	forward	52.26
smpB	482	forward	51.76
intA	1241	forward	47.58
grcA	383	reverse	47.92
yfiE	881	reverse	49.66
yfiF	1037	reverse	56.26
gmd	1121	reverse	54.81
fcl	965	reverse	56.42
gmm	479	reverse	54.58
wcaI	1223	reverse	55.56
cmtB	443	reverse	42.34
cmtA	1388	reverse	49.82
ygdD	395	reverse	54.55
rlmM	1100	reverse	52.23
gcvA	917	reverse	49.13
lplA	1016	reverse	57.82
talA	950	forward	50.26
hofC	1202	reverse	51.95
hybA	986	reverse	54.51
hybB	1178	reverse	54.11
hybC	1703	reverse	52.93
hybD	494	reverse	54.75
hybE	488	reverse	54.4
hybF	341	reverse	54.97
hybG	248	reverse	52.21
yebE	659	reverse	52.73
yebF	356	reverse	49.3
yebG	290	reverse	49.48
purT	1178	forward	53.77
gcvP	2873	reverse	55.95
aidB	1625	forward	54.31
yjfC	1163	forward	52.92
torA	2546	forward	55.32
torC	1172	forward	51.24
ispF	479	reverse	53.75
umpG	761	reverse	54.72
purU	842	reverse	47.21
yceI	575	reverse	47.4
amtB	1286	forward	56.18
puuB	1280	forward	58.24
amiA	869	forward	49.77
yghB	659	forward	51.06
yddE	893	reverse	52.01
etk	2180	reverse	50.53
rpiB	449	forward	50.22
mobB	527	reverse	48.67
mobA	584	reverse	50.09
yihD	269	forward	46.3
srkA	986	forward	48.63
yihF	1430	forward	41.65
yihG	932	reverse	45.12
yihI	509	forward	52.35
hemN	1373	forward	53.13
bipA	1823	forward	53.45
yihL	710	forward	49.09
yihM	980	forward	43.93
yihN	1265	forward	45.02
yihO	1403	reverse	45.01
yihP	1385	reverse	52.38
yihQ	2036	reverse	53.51
yihR	926	reverse	48.22
yihS	1241	reverse	53.3
yihT	878	reverse	53.81
yihU	896	reverse	55.3
yihV	896	forward	55.63
csqR	785	forward	52.42
yihX	599	forward	50.5
yihY	872	forward	50.86
dtd	437	forward	55.02
yiiD	989	forward	55.05
yiiE	218	forward	47.03
yiiF	218	forward	46.12
fdoI	635	reverse	52.52
fdoH	902	reverse	55.48
fdoG	3050	reverse	55.1
fdhD	833	forward	53.12
yiiG	1055	forward	45.64
frvR	1748	reverse	50.03
frvX	1070	reverse	52.57
frvB	1451	reverse	55.92
frvA	446	reverse	50.11
rhaM	314	reverse	50.79
rhaD	824	reverse	55.76
rhaA	1259	reverse	56.11
rhaB	1469	reverse	54.76
kdgT	983	forward	52.74
yiiM	674	forward	53.04
gph	758	reverse	52.83
fieF	902	forward	52.16
yiiQ	599	reverse	49.17
yiiR	440	forward	49.43
yiiS	299	forward	46.33
uspD	428	forward	43.12
zapB	245	forward	48.37
rraA	485	reverse	52.26
menA	926	reverse	53.4
hslU	1331	reverse	52.63
yiiX	608	reverse	52.38
tehA	992	forward	53.17
tehB	593	forward	45.96
opgG	1535	forward	49.87
opgH	2543	forward	54.95
trxC	419	forward	49.52
trmL	473	forward	55.06
dctR	530	forward	39.74
slp	566	forward	45.86
yeeA	1058	reverse	50.8
sbmC	473	reverse	47.26
dacD	1166	reverse	49.27
yeeD	227	reverse	50.44
yeeE	1058	reverse	50.42
plaP	1358	reverse	52.69
rpoE	575	reverse	48.78
recT	809	reverse	47.16
ralR	194	reverse	40.51
rcbA	209	reverse	34.76
yijE	905	forward	54.08
yijF	617	reverse	52.59
gldA	1103	reverse	54.71
fsaB	662	reverse	53.39
ptsA	2501	reverse	55.36
frwC	1079	forward	54.17
frwB	320	forward	49.22
pflD	2297	forward	53.13
pflC	878	forward	54.95
frwD	341	forward	56.14
yijO	851	reverse	53.05
eptC	1733	reverse	50
nfi	671	forward	58.78
yjaG	590	forward	48.56
yjaH	695	forward	53.45
zraP	425	reverse	53.52
yjbB	1631	forward	55.33
pepE	689	reverse	54.35
rluF	872	forward	51.55
yjbD	272	reverse	49.45
yjbE	242	forward	60.49
yjbF	638	forward	54.77
yjbG	737	forward	58.67
yjbH	2096	forward	54.03
yjbI	1580	forward	32.57
yjbJ	209	forward	42.38
zur	515	reverse	52.13
yjbL	254	forward	28.63
yjbM	707	forward	36.58
dusA	1037	forward	53.66
pspG	242	forward	49.79
aphA	713	forward	49.44
yjbQ	416	forward	51.8
yjbR	356	forward	50.42
yjcB	281	reverse	52.48
pdeC	1586	forward	44.74
ghxP	1349	forward	55.93
yjcE	1649	forward	55.82
yjcF	1292	reverse	32.95
actP	1649	reverse	55.76
yjcH	314	reverse	49.21
nrfB	566	forward	53.97
nrfC	671	forward	57.89
nrfD	956	forward	57.58
nrfE	1658	forward	57.32
nrfF	383	forward	52.34
nrfG	596	forward	51.76
yjcO	689	reverse	49.71
mdtP	1466	reverse	55.76
mdtO	2051	reverse	54.53
mdtN	1031	reverse	55.91
yjcS	1985	reverse	52.92
alsK	929	reverse	54.95
alsE	695	reverse	49.14
alsC	980	reverse	52.5
alsA	1532	reverse	47.95
lldP	1655	forward	55.13
lldR	776	forward	54.05
lldD	1190	forward	55.67
yibL	362	forward	50.96
mtlR	587	forward	51.02
adiY	761	reverse	41.34
flgK	1643	forward	51.82
zntR	425	reverse	48.83
yhdN	368	reverse	47.97
nupC	1202	forward	49.88
htrE	2597	reverse	43.34
yadV	740	reverse	44.4
fimI	539	forward	49.26
fliP	737	forward	53.12
fliQ	269	forward	50.37
fliR	785	forward	47.46
rfbA	881	reverse	42.74
rfbC	557	reverse	38.71
rfbX	1247	reverse	35.42
glf	1103	reverse	35.6
wbbH	1166	reverse	32.31
wbbI	992	reverse	35.95
wbbJ	590	reverse	40.61
wbbK	1118	reverse	31.9
wbbL	0		35.35
yehA	1034	reverse	38.74
yehB	2480	reverse	45.51
yehC	719	reverse	39.31
yehD	542	reverse	40.52
yehE	281	reverse	43.97
yehF	824	forward	45.82
yehI	3632	forward	50.78
yehL	1088	forward	54.36
yehM	2279	forward	55.7
yehP	1136	forward	54.35
yehQ	1844	forward	54.85
yehR	461	forward	42.42
yehS	470	reverse	49.04
btsR	719	reverse	49.31
btsS	1685	reverse	50.59
mlrA	731	forward	52.87
yehW	731	reverse	57.51
yehX	926	reverse	55.12
yehY	1157	reverse	57.43
osmF	917	reverse	54.03
bglX	2297	reverse	54.22
pbpG	932	reverse	50.7
yohC	587	reverse	53.57
yohD	578	forward	54.4
yohF	761	reverse	55.12
mdtQ	1435	reverse	55.15
dusC	947	reverse	54.22
yohJ	398	forward	49.37
yohK	695	forward	53.45
sanA	719	forward	47.78
yeiG	836	forward	54.48
yeiH	1049	forward	53.05
yeiI	1088	forward	51.79
nupX	1250	reverse	50.44
rihB	941	reverse	52.02
yeiL	659	forward	45
psuT	1250	reverse	51.08
psuG	938	reverse	49.73
setB	1181	forward	53.05
yeiP	572	forward	49.91
yeiQ	1466	forward	52.01
yejA	1814	forward	51.18
yejB	1094	forward	51.23
yejE	1025	forward	52.73
yejF	1589	forward	51.38
yejG	344	reverse	48.7
yejL	227	forward	50.44
rsuA	695	reverse	52.87
radD	1760	forward	53.15
yejK	1007	reverse	52.28
yejM	1760	forward	52.07
yejO	0		48.19
ccmH	1052	reverse	54.04
ccmG	557	reverse	54.48
ccmF	1943	reverse	57.1
ccmE	479	reverse	53.54
ccmC	737	reverse	55.28
ccmB	662	reverse	55.96
ccmA	623	reverse	55.93
napC	602	reverse	51.58
napB	449	reverse	55.56
napH	863	reverse	55.9
napG	695	reverse	59.05
napA	2486	reverse	56.13
napF	494	reverse	55.35
mqo	1646	reverse	54.04
yojI	1643	reverse	53.41
ftp	1055	reverse	53.41
nikA	1574	forward	53.33
nikB	944	forward	58.41
nikC	833	forward	60.91
nikD	764	forward	59.22
nikE	806	forward	56.26
recX	500	reverse	51.9
ppdA	470	reverse	54.14
nuoA	443	reverse	53.38
nuoB	662	reverse	51.73
nuoC	1790	reverse	55.89
nuoE	500	reverse	55.29
nuoG	2726	reverse	56.4
nuoH	977	reverse	54.19
nuoI	542	reverse	54.33
